Verilator Statistics Report

Information:
  Verilator 4.204 2021-06-12 rev v4.204
  Arguments: --cc --exe --top-module SimTop +define+VERILATOR=1 +define+PRINTF_COND=1 +define+RANDOMIZE_REG_INIT +define+RANDOMIZE_MEM_INIT +define+RANDOMIZE_GARBAGE_ASSIGN +define+RANDOMIZE_DELAY=0 -Wno-STMTDLY -Wno-WIDTH -I/home/yuyake/oscpu/projects/backup/build --x-assign unique -O3 -CFLAGS -std=c++11 -static -Wall -I/home/yuyake/oscpu/libraries/difftest/src/test/csrc -I/home/yuyake/oscpu/libraries/difftest/src/test/csrc/common -I/home/yuyake/oscpu/libraries/difftest/src/test/csrc/difftest -DVERILATOR -Wno-maybe-uninitialized  -DNUM_CORES=1 -LDFLAGS -lpthread -lSDL2 -ldl -lz --trace --assert --stats-vars --output-split 30000 --output-split-cfuncs 30000 -o /home/yuyake/oscpu/projects/backup/build/emu -Mdir /home/yuyake/oscpu/projects/backup/build/emu-compile /home/yuyake/oscpu/projects/backup/build/SimTop.v ./src/test/vsrc/common/SimJTAG.v ./src/test/vsrc/common/ram.v ./src/test/vsrc/common/assert.v ./src/test/vsrc/common/difftest.v ./src/test/vsrc/common/EICG_wrapper.v ./src/test/vsrc/common/ref.v /home/yuyake/oscpu/libraries/difftest/src/test/csrc/verilator/emu.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/verilator/main.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/verilator/snapshot.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/keyboard.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/ram.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/common.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/sdcard.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/uart.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/axi4.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/flash.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/vga.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/SimJTAG.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/device.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/compress.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/remote_bitbang.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/difftest/goldenmem.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/difftest/difftest.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/difftest/nemuproxy.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/difftest/ref.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/difftest/interface.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/vcs/main.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/keyboard.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/ram.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/common.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/sdcard.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/uart.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/axi4.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/flash.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/vga.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/SimJTAG.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/device.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/compress.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/common/remote_bitbang.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/difftest/goldenmem.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/difftest/difftest.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/difftest/nemuproxy.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/difftest/ref.cpp /home/yuyake/oscpu/libraries/difftest/src/test/csrc/difftest/interface.cpp

Global Statistics:

  Assertions, assert immediate statements                   0
  Assertions, assert non-immediate statements               0
  Assertions, cover statements                              0
  Assertions, full/parallel case                            0
  Optimizations, Cases complex                              0
  Optimizations, Cases parallelized                         0
  Optimizations, Clocker decomposed vectors                 0
  Optimizations, Clocker seen vectors                       0
  Optimizations, Combined CFuncs                            0
  Optimizations, Const bit op reduction                   588
  Optimizations, Const bit op reduction                     0
  Optimizations, Delayed shared-sets                       31
  Optimizations, Gate assign merged                         0
  Optimizations, Gate inputs replaced                    1401
  Optimizations, Gate sigs deduped                          0
  Optimizations, Gate sigs deleted                        571
  Optimizations, Inline unsupported                         0
  Optimizations, Inlined instances                         19
  Optimizations, Lifetime assign deletions                  1
  Optimizations, Lifetime constant prop                     0
  Optimizations, Lifetime postassign deletions             70
  Optimizations, MergeCond longest merge                    2
  Optimizations, MergeCond merged items                     2
  Optimizations, MergeCond merges                           1
  Optimizations, Prelim static constants extracted          0
  Optimizations, Prelim static constants reused             0
  Optimizations, Reloop iterations                          0
  Optimizations, Reloops                                    0
  Optimizations, Split always                              22
  Optimizations, Split always                               0
  Optimizations, Substituted temps                        117
  Optimizations, Tables created                             0
  Optimizations, Unrolled Iterations                        0
  Optimizations, Unrolled Loops                             0
  Optimizations, Vars localized                             4
  Optimizations, expand limited                             0
  Optimizations, expand wide words                        168
  Optimizations, expand wides                              56
  Optimizations, isolate_assignments blocks                 0
  SplitVar, Split packed variables                          0
  SplitVar, Split unpacked arrays                           0
  Tracing, Ignored signals                                  0
  Tracing, Traced signals                                 735
  Tracing, Unique changing signals                          0
  Tracing, Unique trace codes                             760
  Tracing, Unique traced signals                          445
  Tristate, Tristate resolved nets                          0
  Unknowns, variables created                               0
  Warnings, Suppressed ASSIGNDLY                            6
  Warnings, Suppressed DECLFILENAME                         3
  Warnings, Suppressed EOFNEWLINE                           8
  Warnings, Suppressed UNDRIVEN                            11
  Warnings, Suppressed UNUSED                              24
  Warnings, Suppressed WIDTH                               13

Performance Statistics:

  Stage, Elapsed time (sec), 001_cells               0.000000
  Stage, Elapsed time (sec), 002_linkparse           0.001455
  Stage, Elapsed time (sec), 003_linkdot             0.002404
  Stage, Elapsed time (sec), 004_linkresolve         0.000366
  Stage, Elapsed time (sec), 005_linklvalue          0.000174
  Stage, Elapsed time (sec), 006_link                0.000145
  Stage, Elapsed time (sec), 007_linkInc             0.000181
  Stage, Elapsed time (sec), 008_param               0.001023
  Stage, Elapsed time (sec), 009_paramlink           0.001112
  Stage, Elapsed time (sec), 010_deadModules         0.000303
  Stage, Elapsed time (sec), 011_width               0.001554
  Stage, Elapsed time (sec), 012_widthcommit         0.000711
  Stage, Elapsed time (sec), 013_const               0.000202
  Stage, Elapsed time (sec), 014_assertpre           0.001331
  Stage, Elapsed time (sec), 015_assert              0.000177
  Stage, Elapsed time (sec), 016_wraptop             0.000404
  Stage, Elapsed time (sec), 017_const               0.000613
  Stage, Elapsed time (sec), 018_split_var           0.000562
  Stage, Elapsed time (sec), 019_split_var           0.000051
  Stage, Elapsed time (sec), 020_dearray             0.000126
  Stage, Elapsed time (sec), 021_linkdot             0.001387
  Stage, Elapsed time (sec), 022_begin               0.000177
  Stage, Elapsed time (sec), 023_tristate            0.000558
  Stage, Elapsed time (sec), 024_unknown             0.000349
  Stage, Elapsed time (sec), 025_inline              0.004960
  Stage, Elapsed time (sec), 026_linkdot             0.001057
  Stage, Elapsed time (sec), 027_const               0.000266
  Stage, Elapsed time (sec), 028_deadDtypes          0.000216
  Stage, Elapsed time (sec), 029_inst                0.000047
  Stage, Elapsed time (sec), 030_const               0.000207
  Stage, Elapsed time (sec), 031_scope               0.002020
  Stage, Elapsed time (sec), 032_linkdot             0.000624
  Stage, Elapsed time (sec), 033_class               0.000065
  Stage, Elapsed time (sec), 034_const               0.000198
  Stage, Elapsed time (sec), 035_deadDtypesScoped    0.000415
  Stage, Elapsed time (sec), 036_case                0.000185
  Stage, Elapsed time (sec), 037_task                0.000700
  Stage, Elapsed time (sec), 038_name                0.000323
  Stage, Elapsed time (sec), 039_unroll              0.000141
  Stage, Elapsed time (sec), 040_slice               0.000189
  Stage, Elapsed time (sec), 041_const               0.000257
  Stage, Elapsed time (sec), 042_life                0.000151
  Stage, Elapsed time (sec), 043_table               0.000136
  Stage, Elapsed time (sec), 044_const               0.000256
  Stage, Elapsed time (sec), 045_deadDtypesScoped    0.000324
  Stage, Elapsed time (sec), 046_active              0.000470
  Stage, Elapsed time (sec), 047_split               0.000529
  Stage, Elapsed time (sec), 048_splitas             0.000270
  Stage, Elapsed time (sec), 049_tracedecl           0.001584
  Stage, Elapsed time (sec), 050_gate                0.004819
  Stage, Elapsed time (sec), 051_const               0.000527
  Stage, Elapsed time (sec), 052_deadAllScoped       0.000446
  Stage, Elapsed time (sec), 053_reorder             0.000265
  Stage, Elapsed time (sec), 054_delayed             0.000490
  Stage, Elapsed time (sec), 055_activetop           0.000733
  Stage, Elapsed time (sec), 056_order               0.004417
  Stage, Elapsed time (sec), 057_genclk              0.000764
  Stage, Elapsed time (sec), 058_clock               0.000489
  Stage, Elapsed time (sec), 059_const               0.000926
  Stage, Elapsed time (sec), 060_life                0.000675
  Stage, Elapsed time (sec), 061_life_post           0.000689
  Stage, Elapsed time (sec), 062_const               0.000542
  Stage, Elapsed time (sec), 063_deadAllScoped       0.000476
  Stage, Elapsed time (sec), 064_changed             0.000103
  Stage, Elapsed time (sec), 065_trace               0.003028
  Stage, Elapsed time (sec), 066_descope             0.001766
  Stage, Elapsed time (sec), 067_localize            0.000737
  Stage, Elapsed time (sec), 068_combine             0.000744
  Stage, Elapsed time (sec), 069_const               0.000540
  Stage, Elapsed time (sec), 070_deadAll             0.000442
  Stage, Elapsed time (sec), 071_clean               0.001184
  Stage, Elapsed time (sec), 072_premit              0.000681
  Stage, Elapsed time (sec), 073_expand              0.001882
  Stage, Elapsed time (sec), 074_const_cpp           0.003444
  Stage, Elapsed time (sec), 075_subst               0.000872
  Stage, Elapsed time (sec), 076_const_cpp           0.001278
  Stage, Elapsed time (sec), 077_deadAll             0.000784
  Stage, Elapsed time (sec), 078_merge_cond          0.000173
  Stage, Elapsed time (sec), 079_reloop              0.000160
  Stage, Elapsed time (sec), 080_depth               0.000715
  Stage, Elapsed time (sec), 081_cast                0.001576
  Stage, Elapsed time (sec), 082_cuse                0.000773
  Stage, Memory (MB), 001_cells                     20.746094
  Stage, Memory (MB), 002_linkparse                 20.746094
  Stage, Memory (MB), 003_linkdot                   21.746094
  Stage, Memory (MB), 004_linkresolve               21.746094
  Stage, Memory (MB), 005_linklvalue                21.746094
  Stage, Memory (MB), 006_link                      21.746094
  Stage, Memory (MB), 007_linkInc                   21.746094
  Stage, Memory (MB), 008_param                     22.382812
  Stage, Memory (MB), 009_paramlink                 22.382812
  Stage, Memory (MB), 010_deadModules               22.382812
  Stage, Memory (MB), 011_width                     22.382812
  Stage, Memory (MB), 012_widthcommit               22.382812
  Stage, Memory (MB), 013_const                     22.382812
  Stage, Memory (MB), 014_assertpre                 22.382812
  Stage, Memory (MB), 015_assert                    22.382812
  Stage, Memory (MB), 016_wraptop                   22.382812
  Stage, Memory (MB), 017_const                     22.382812
  Stage, Memory (MB), 018_split_var                 22.382812
  Stage, Memory (MB), 019_split_var                 22.382812
  Stage, Memory (MB), 020_dearray                   22.382812
  Stage, Memory (MB), 021_linkdot                   22.382812
  Stage, Memory (MB), 022_begin                     22.382812
  Stage, Memory (MB), 023_tristate                  22.382812
  Stage, Memory (MB), 024_unknown                   22.382812
  Stage, Memory (MB), 025_inline                    25.382812
  Stage, Memory (MB), 026_linkdot                   25.382812
  Stage, Memory (MB), 027_const                     25.382812
  Stage, Memory (MB), 028_deadDtypes                25.382812
  Stage, Memory (MB), 029_inst                      25.382812
  Stage, Memory (MB), 030_const                     25.382812
  Stage, Memory (MB), 031_scope                     25.382812
  Stage, Memory (MB), 032_linkdot                   25.382812
  Stage, Memory (MB), 033_class                     25.382812
  Stage, Memory (MB), 034_const                     25.382812
  Stage, Memory (MB), 035_deadDtypesScoped          25.382812
  Stage, Memory (MB), 036_case                      25.382812
  Stage, Memory (MB), 037_task                      25.382812
  Stage, Memory (MB), 038_name                      25.382812
  Stage, Memory (MB), 039_unroll                    25.382812
